movie_title,budget,gross,gross_budget_link
Animal Kingdom: Let's go Ape,,,http://www.imdb.com/title/tt1220911/business?ref_=tt_dt_bus
Animals,,,http://www.imdb.com/title/tt3297554/business?ref_=tt_dt_bus
Animals United,,,http://www.imdb.com/title/tt1620449/business?ref_=tt_dt_bus
Anne of Green Gables,,,http://www.imdb.com/title/tt0088727/business?ref_=tt_dt_bus
Another Happy Day,4000000,,http://www.imdb.com/title/tt1719071/business?ref_=tt_dt_bus
Antibirth,3500000,,http://www.imdb.com/title/tt3333870/business?ref_=tt_dt_bus
Antiviral,3200000,,http://www.imdb.com/title/tt2099556/business?ref_=tt_dt_bus
Archaeology of a Woman,200000,,http://www.imdb.com/title/tt1702455/business?ref_=tt_dt_bus
Area 51,5000000,,http://www.imdb.com/title/tt1519461/business?ref_=tt_dt_bus
Arn: The Knight Templar,25000000,,http://www.imdb.com/title/tt0837106/business?ref_=tt_dt_bus
Aroused,150000,,http://www.imdb.com/title/tt2403815/business?ref_=tt_dt_bus
Arthur,,,http://www.imdb.com/title/tt0169414/business?ref_=tt_dt_bus
Ask Me Anything,950000,,http://www.imdb.com/title/tt2505294/business?ref_=tt_dt_bus
Asterix at the Olympic Games,78000000,,http://www.imdb.com/title/tt0463872/business?ref_=tt_dt_bus
August,,,http://www.imdb.com/title/tt1753460/business?ref_=tt_dt_bus
Automata,7000000,,http://www.imdb.com/title/tt1971325/business?ref_=tt_dt_bus
AWOL-72,3000000,,http://www.imdb.com/title/tt2048865/business?ref_=tt_dt_bus
Bait,30000000,,http://www.imdb.com/title/tt1438173/business?ref_=tt_dt_bus
Bananas,2000000,,http://www.imdb.com/title/tt0066808/business?ref_=tt_dt_bus
Bandidas,32000000,,http://www.imdb.com/title/tt0416496/business?ref_=tt_dt_bus
Bang,,,http://www.imdb.com/title/tt0109266/business?ref_=tt_dt_bus
Bang Bang Baby,1000000,,http://www.imdb.com/title/tt2655734/business?ref_=tt_dt_bus
Banshee Chapter,950000,,http://www.imdb.com/title/tt2011276/business?ref_=tt_dt_bus
Barbarella,9000000,,http://www.imdb.com/title/tt0062711/business?ref_=tt_dt_bus
Barbecue,,,http://www.imdb.com/title/tt3202120/business?ref_=tt_dt_bus
